Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,164,341.25,349.0,239.0,301.0,433.0,374.0,266.0,400.0,368.0
1,179,375.0,349.0,395.0,497.0,229.0,416.0,347.0,481.0,286.0
2,163,442.3333333333333,374.0,467.0,591.0,433.0,442.0,347.0,,
3,149,603.25,744.0,540.0,478.0,651.0,,,,
4,172,706.25,816.0,739.0,544.0,726.0,,,,
5,173,715.75,522.0,767.0,737.0,837.0,,,,
